Source sentence,Answer sentence
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,U.S. is a location entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,Richey Reneberg is a person entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,beat 3 is not a named entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,3 is not a named entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,) beat is not a named entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,3 is not a named entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Martin Damm is a person entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Czech Republic is a location entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Younes El Aynaoui is a person entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Aynaoui is not a named entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,) beat is not a named entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Damm ( is not a named entity
Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,- Younes is not a named entity
( Morocco ) 5-7 6-3 3-0 retired,Morocco is a location entity
( Morocco ) 5-7 6-3 3-0 retired,6-3 is not a named entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Karol Kucera is a person entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Slovakia is a location entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Hicham Arazi is a person entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Morocco is a location entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Kucera ( is not a named entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),7-4 is not a named entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),) is not a named entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),) is not a named entity
Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),) 7-6 is not a named entity
SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,DALGLISH is a person entity
SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,BLACKBURN is an organization entity
SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,. is not a named entity
SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,- is not a named entity
SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,SOCCER is not a named entity
LONDON 1996-08-22,LONDON is a location entity
LONDON 1996-08-22,1996-08-22 is not a named entity
"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",Kenny Dalglish is a person entity
"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",Blackburn is an organization entity
"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",English is an other entity
"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",of is not a named entity
"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",sadness is not a named entity
Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .,Blackburn is an organization entity
Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .,Dalglish is a person entity
Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .,Wednesday is not a named entity
Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .,they is not a named entity
"But the ex-manager confessed on Thursday to being "" sad "" at leaving after taking Blackburn from the second division to the premier league title inside three and a half years .",Blackburn is an organization entity
"But the ex-manager confessed on Thursday to being "" sad "" at leaving after taking Blackburn from the second division to the premier league title inside three and a half years .",inside is not a named entity
"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,Spain is a location entity
"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,Dalglish is a person entity
"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,same is not a named entity
"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,to is not a named entity
"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,a is not a named entity
"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",Dalglish is a person entity
"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",Blackburn is an organization entity
"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",as is not a named entity
"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",. is not a named entity
"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",for is not a named entity
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,ENGLISH COUNTY CHAMPIONSHIP is an other entity
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,CHAMPIONSHIP SCORES . is not a named entity
LONDON 1996-08-22,LONDON is a location entity
LONDON 1996-08-22,1996-08-22 is not a named entity
English County Championship cricket matches on Thursday :,English is an other entity
English County Championship cricket matches on Thursday :,County Championship is an other entity
English County Championship cricket matches on Thursday :,Championship is not a named entity
English County Championship cricket matches on Thursday :,on Thursday is not a named entity
English County Championship cricket matches on Thursday :,Championship is not a named entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",Weston-super-Mare is a location entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",Durham is an organization entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",D. Cox is a person entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",out is not a named entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",out is not a named entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",: Durham is not a named entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",95 is not a named entity
"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",not is not a named entity
S. Campbell 69 ; G. Rose 7-73 ) .,S. Campbell is a person entity
S. Campbell 69 ; G. Rose 7-73 ) .,G. Rose is a person entity
S. Campbell 69 ; G. Rose 7-73 ) .,Campbell 69 is not a named entity
S. Campbell 69 ; G. Rose 7-73 ) .,) . is not a named entity
Somerset 236-4 ( M. Lathwell 85 ) .,Somerset is an organization entity
Somerset 236-4 ( M. Lathwell 85 ) .,M. Lathwell is a person entity
Somerset 236-4 ( M. Lathwell 85 ) .,( is not a named entity
Somerset 236-4 ( M. Lathwell 85 ) .,236-4 ( is not a named entity
Somerset 236-4 ( M. Lathwell 85 ) .,. is not a named entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",Colchester is a location entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",Gloucestershire is an organization entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",J. Russell is a person entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",A. Symonds is a person entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",280 is not a named entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",Symonds is not a named entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",", is not a named entity"
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",: is not a named entity
"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",", A. is not a named entity"
52 ; A. Cowan 5-68 ) .,A. Cowan is a person entity
52 ; A. Cowan 5-68 ) .,) . is not a named entity
Essex 72-0 .,Essex is an organization entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",Cardiff is a location entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",Kent is an organization entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",M. Walker is a person entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",D. Fulton is a person entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",At is not a named entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",53 not is not a named entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",) v is not a named entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",( is not a named entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",Fulton is not a named entity
"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",: Kent is not a named entity
Glamorgan .,Glamorgan is an organization entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",Leicester is a location entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",Leicestershire is an organization entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",P. Simmons is a person entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",P. Nixon is a person entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",Simmons 108 is not a named entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",Nixon is not a named entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",: is not a named entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",At is not a named entity
"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",: Leicestershire is not a named entity
67 not out ) v Hampshire .,Hampshire is an organization entity
67 not out ) v Hampshire .,) is not a named entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",Northampton is a location entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",Sussex is an organization entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",N. Lenham is a person entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",V. Drakes is a person entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",Lenham 145 is not a named entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",59 not is not a named entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",368-7 is not a named entity
"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not",145 is not a named entity
"out , A. Wells 51 ) v Northamptonshire .",A. Wells is a person entity
"out , A. Wells 51 ) v Northamptonshire .",Northamptonshire is an organization entity
"out , A. Wells 51 ) v Northamptonshire .",", A. is not a named entity"
"out , A. Wells 51 ) v Northamptonshire .",Wells is not a named entity
"out , A. Wells 51 ) v Northamptonshire .",) v is not a named entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,Trent Bridge is a location entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,Nottinghamshire is an organization entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,G. Archer is a person entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,143 not is not a named entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,Archer is not a named entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,At Trent is not a named entity
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not,not is not a named entity
"out , M. Dowman 107 ) v Surrey .",M. Dowman is a person entity
"out , M. Dowman 107 ) v Surrey .",Surrey is an organization entity
"out , M. Dowman 107 ) v Surrey .",v Surrey is not a named entity
"out , M. Dowman 107 ) v Surrey .",v is not a named entity
"out , M. Dowman 107 ) v Surrey .",v Surrey is not a named entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",Worcester is a location entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",Warwickshire is an organization entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",A. Giles is a person entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",W. Khan is a person entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",", is not a named entity"
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",", W. is not a named entity"
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",57 not is not a named entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",( is not a named entity
"At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan",57 not is not a named entity
52 ) v Worcestershire .,Worcestershire is an organization entity
52 ) v Worcestershire .,. is not a named entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",Headingley is a location entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",Yorkshire is an organization entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",C. White is a person entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",M. Moxon is a person entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",White is not a named entity
"At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon",not is not a named entity
